Epoch,Learning_Rate,Train_Loss,Train_F1,Train_Balanced_Accuracy,Dev_Loss,Dev_Window_F1,Dev_Window_Recall,Dev_Participant_F1,Dev_Participant_Recall,Dev_Participant_Balanced_Accuracy,Epoch_Time_Seconds
1,0.0005,0.6589841559375684,0.4428007889546351,0.6335719740358916,0.7630351798390155,0.32571889277076055,0.4492216456634544,0.26666666666666666,0.3333333333333333,0.5038759689922481,16.868053436279297
2,0.0005,0.48306502866990786,0.6624742268041237,0.8227530378360712,0.8625906277381653,0.2353896103896104,0.2149740548554485,0.3,0.25,0.5668604651162791,15.320655107498169
3,0.0005,0.3705194837952222,0.8012527101903156,0.9020129509170827,0.9638631694681704,0.23060618906316235,0.2016308376575241,0.2,0.16666666666666666,0.5135658914728682,18.151733875274658
4,0.0005,0.30533209458015453,0.8706561284656881,0.9372072264793256,1.0770084622915954,0.18887908208296558,0.1586360266864344,0.21052631578947367,0.16666666666666666,0.5251937984496124,19.687187910079956
5,0.0005,0.2774478255455905,0.9051206742433916,0.9553242913743583,1.0326143297648516,0.16916780354706684,0.13787991104521868,0.1111111111111111,0.08333333333333333,0.48352713178294576,17.43225932121277
6,0.00025,0.245448412470333,0.9381921194952356,0.9696990802832022,1.1480792269163709,0.19787685774946923,0.17272053372868792,0.1,0.08333333333333333,0.4602713178294574,17.65660262107849
7,0.00025,0.23969345061873829,0.9450752574597306,0.9731022396365399,1.2832025159720424,0.1818933443571724,0.16308376575240918,0.0,0.0,0.4186046511627907,17.441138744354248
8,0.00025,0.23018504693599443,0.9581667998934186,0.9794590049955436,1.1236306612389793,0.1947297900848593,0.16160118606375093,0.1111111111111111,0.08333333333333333,0.48352713178294576,17.53739094734192
9,0.000125,0.22075620070385124,0.9660460021905805,0.984416826302257,1.1910668942003488,0.19218955682316805,0.16234247590808007,0.10526315789473684,0.08333333333333333,0.47189922480620156,18.154564142227173
